Aarão
Aaron
Abdénago
Abdul
Abedenego
Abeilarde
Abeilard
Abel
Abelâmio
Abelardo
Abelino
Abigail
Abílio
Abimael
Abissail
Abna
Abraão
Abraham
Abraim
Abrão
Absalão
Abssilão
Acácio
Ácil
Acilino
Acílio
Acini
Açores
Açucena
Acúrcio
Acúrsio
Adail
Adalberto
Adalgisa
Adália
Adalsindo
Adalsino
Adama
Adamantino
Adamastor
Adam
Adamo
Adão
Adarico
Adárico
Adário
Ada
Adelaide
Adélia
Adelina
Adelindo
Adelino
Adélio
Adelmo
Ademar
Adeodato
Adércio
Adério
Adérito
Adiel
Ádila
Adilar
Adília
Adílio
Adilson
Adirio
Adírio
Adis
Adjene
Adliano
Admar
Admiro
Admisia
Adner
Adolfo
Adonai
Adonias
Adonilo
Adónis
Adoração
Adorinda
Adorino
Adosinda
Adriana
Adria
Adriane
Adriano
Adriel
Adrilete
Adrualdo
Adruzilo
Aduíno
Afonsina
Afonsino
Afonso
Afra
Afrânio
Afre
Africana
África
Africano
Ágata
Agatha
Agda
Agenor
Agna
Agnello
Agnelo
Agnes
Agonia
Agostília
Agostinho
Águas
Águeda
Aguiar
Aguinaldo
Aiala
Aicha
Aida
Aidan
Aidé
Aidi
Aila
Aileda
Ailine
Ailson
Ailton
Aimi
Aine
Aires
Airiza
Airtom
Airton
Aisha
Aita
Aitor
Aixa
Akira
Aladino
Alaíde
Alaim
Alain
Alamiro
Alana
Alanis
Alan
Alanna
Alano
Alão
Albano
Alba
Alberico
Alberta
Alberto
Alberty
Albrique
Albuquerque
Alcibíades
Alcide
Alcides
Alcina
Alcindo
Alcínia
Alcino
Alcíone
Alcione
Aldaír
Aldara
Aldemar
Aldenir
Aldenora
Alder
Aldo
Aldónio
Aldora
Alecsandro
Alegria
Aleixa
Alejandra
Alejandro
Alencar
Alésia
Alessandra
Alessandro
Aleta
Aleu
Alexander
Alexandra
Alexandre
Alexandria
Alexandrina
Alexandrino
Alexandro
Alexa
Alexei
Aléxia
Alexina
Aléxio
Aléxis
Alex
Alexsandro
Alfeu
Alfreda
Alfredina
Algarinho
Algi
Algy
Aliana
Ália
Aliça
Alice
Alícia
Aliçon
Alida
Alide
Alina
Aline
Alípio
Aliquesone
Alírio
Alisande
Alisia
Álison
Alissa
Alissandra
Alissandro
Alita
Alítio
Alito
Alivar
Alívio
Alix
Aljocolo
Allen
Allessandro
Almada
Alma
Almara
Almecinda
Almesinda
Alminda
Almira
Almirique
Almir
Almiro
Almo
Almurtão
Aloísio
Aloís
Alonso
Alonzo
Alpes
Alpoim
Alquina
Altenino
Alter
Altina
Altino
Altomirândio
Aluisa
Aluízio
Alva
Alvares
Álvares
Alvarim
Alvarina
Alvarindo
Alvarinho
Alvarino
Alvário
Alverita
Alvier
Alvim
Alvino
Alzerina
Alzinda
Alzira
Alzirinda
Amadeu
Amadeus
Amádio
Amadis
Amador
Amado
Amael
Amanda
Amandina
Amaral
Amara
Amarilde
Amarildo
Amarílio
Amarílis
Amar
Amaro
Amastor
Amáuri
Amauri
Amável
Amávia
Amavilde
Ambar
Ameet
Amélia
Amelina
Amena
América
Américo
Amícia
Aminadabe
Amora
Amorel
Amorim
Amorina
Amorita
Amor
Amorosa
Amorzinda
Amós
Amparo
Ana
Anabela
Anabel
Anael
Anaíce
Anaíde
Anailda
Anailde
Anaim
Anaina
Anaira
Anaíra
Anair
Anaísa
Anaisa
Anaís
Anaiza
Analaura
Analdina
Anália
Analice
Analide
Analídio
Anali
Analine
Analisa
Analissa
Analtina
Analua
Analuar
Analuz
Anamar
Anandine
Anania
Ananias
Anarelina
Anarolina
Anás
Anatércia
Anatilde
Âncora
Andere
Anderson
Andi
Andraja
Andrea
Andreas
Andreia
Andreias
Andreína
Andrei
Andrelina
André
Andreo
Ândreo
Andresa
Andrés
Andressa
Andrete
Andreti
Andreza
Ândria
Andria
Andrina
Ândrio
Andrius
Andro
Andy
Anésia
Anete
Anfílito
Anfíloco
Ângela
Ângeles
Angélica
Angélico
Angelina
Angelin
Angelique
Angelita
Angel
Ângelo
Angra
Ânia
Aniana
Anicete
Anícia
Aniello
Anielo
Anilda
Anildo
Anilinca
Ani
Aniquília
Aníria
Aniri
Anisabela
Anisabel
Anish
Anísia
Anísio
Anissa
Anita
Anjos
Anne
Annie
Anolido
Anorindo
Anouchka
Anouk
Anquita
Anselmo
Anteia
Antelmo
Antera
Antero
Antíbio
Antineia
Antoinette
Antonela
Antonelli
Antonelo
Antónia
Antonieta
Antoni
Antonina
António
Antonita
Anunciação
Anunciada
Anuque
Anusca
Anuschka
Anuska
Anya
Aparecida
Aparício
Ápio
Apolinário
Apolo
Aprígio
Aquila
Áquila
Aquiles
Aquilino
Aquil
Aquino
Aquira
Áquira
Arabela
Araci
Aradna
Aragão
Aralde
Aramis
Ara
Arão
Araújo
Arbela
Arbelda
Arbre
Arcádio
Arcanjo
Arcelino
Arcélio
Arcelis
Arcidio
Arcílio
Arcindo
Ardelisa
Ardeliza
Ardiles
Ardingue
Argemiro
Argentina
Argentino
Ariadna
Ariadne
Ária
Ariana
Ariane
Arian
Arianne
Arícia
Aricina
Ariele
Ariel
Arien
Aries
Áries
Arieta
Arinda
Arine
Ariosto
Arisberto
Ari
Aristides
Aristóteles
Arita
Arjuna
Arlanda
Arlete
Arlindo
Arlino
Armândia
Armandina
Armandino
Armando
Armelim
Arménia
Arménio
Arminda
Armindo
Armor
Arneles
Arom
Aron
Árpia
Arquimedes
Arquimínio
Arquimino
Arsénio
Artemisa
Artemísia
Artur
Arturo
Aruna
Ary
Ascenso
Asélio
Asenath
Áser
Ashanti
Ashley
Ásia
Asser
Assise
Assis
Assucena
Assunção
Assunta
Astral
Astride
Astrid
Ataíde
Atanásio
Atão
Atenais
Atena
Ateneia
Athena
Átila
Átina
Atlante
Atlântida
Atneia
Aton
Atul
Aubri
Aucilia
Audenim
Audeta
Audete
Audria
Augusto
Augustos
Augustus
Aulani
Aura
Áurea
Aureliana
Aurélia
Aurentina
Áureo
Aurete
Aurétio
Auretónio
Aurinda
Aurísio
Aurízia
Ausenda
Ausendo
Austrelino
Auta
Auxília
Ava
Avani
Avantino
Avelar
Avelino
Ave
Aventino
Ávila
Aviz
Axel
Ayala
Ayer
Ayla
Ayrton
Azélio
Aziz
Azuil

null,
Babilónia
Baguandas
Bajula
Baki
Baldemar
Baldomero
Balduíno
Balsemina
Baltasar
Baltazar
Banduíno
Baptista
Baqui
Barac
Barão
Bárbara
Bárbora
Barbosa
Barcino
Barriane
Bartolina
Bartolomeu
Basília
Basílio
Basilisa
Basilissa
Bassani
Bassarme
Bastião
Batista
Bauduino
Beanina
Beatriz
Bebiana
Bebiano
Begonha
Beladora
Belânia
Belanie
Belani
Bela
Belchior
Beldora
Beleciano
Belecissima
Belém
Belezinda
Belina
Belinda
Belisanda
Belisa
Belíssima
Belma
Belzinda
Bendavida
Bendavid
Benedita
Benedito
Benevenuto
Beneza
Benfica
Benícia
Benicio
Benício
Benigna
Benilde
Benildo
Benita
Benjamim
Benjamina
Benoît
Bento
Benuá
Benur
Benvinda
Berangére
Berardo
Berengária
Berilo
Berlita
Bernadete
Bernardete
Bernardim
Bernardina
Bernardino
Bernardo
Bérnia
Bertelina
Bertha
Bertila
Bertilde
Bértil
Bertina
Bertine
Bertino
Bertolina
Bertolino
Berto
Bestasbé
Betânia
Betanio
Betânio
Beth
Bétia
Betina
Betino
Beto
Betsabé
Betsabeia
Betsabeth
Bhavika
Bia
Biana
Bianca
Bianor
Biara
Biatriz
Bibiana
Bibila
Bibili
Bibi
Bijal
Bila
Bil
Bina
Bino
Binta
Binucha
Birílio
Birilo
Bitia
Biute
Blacina
Blaise
Blandina
Blásia
Bluete
Boanerges
Boavida
Bolena
Bonança
Bonina
Bonita
Bóris
Bosco
Brain
Branca
Branco
Brandão
Brandelina
Brásia
Brasília
Brasilina
Brasilino
Brasinda
Brás
Bráulio
Brázia
Brelca
Brena
Brenda
Brénea
Breno
Briana
Brian
Briano
Brice
Brícia
Brida
Brígida
Brígido
Brigite
Brilhante
Brilhantina
Brilhantino
Brino
Briolanjo
Briosa
Brisa
Brita
Britânia
Brites
Brito
Britta
Brizelinda
Brizida
Bruce
Bruna
Brunei
Brúnel
Brunilde
Bruno
Bryan
Buanami
Cácia
Cacilda
Cadia
Cádio
Cadu
Caetana
Caetano
Caia
Caiane
Caíco
Caila
Cailane
Cailany
Caio
Caionara
Caique
Caiús
Calebe
Caleb
Calei
Calila
Cali
Calisto
Caluxo
Calvin
Camala
Câmea
Camélia
Camila
Camilo
Camões
Candice
Cândido
Candinho
Candisse
Candy
Cânia
Canto
Capilupi
Cardia
Cárdia
Cardinal
Cardo
Carela
Carel
Cáren
Carenina
Cária
Carícia
Carina
Carine
Cárin
Cario
Carisa
Carísia
Carissa
Cárita
Carla
Carlinda
Carlisa
Carlo
Carlos
Carlota
Carlotta
Carmália
Carma
Carmélia
Carmelina
Carmelinda
Carmelita
Carmem
Carmencita
Cármen
Carmério
Carmezinda
Carmim
Cármina
Carmina
Carminda
Carminho
Carmin
Carmo
Carmorinda
Carola
Carole
Carol
Carolina
Caroline
Carónia
Carrene
Carsta
Cassandra
Cássia
Cassiano
Cassilda
Cássio
Castália
Casta
Castelina
Castelino
Castorina
Castor
Castra
Catalina
Catarina
Catarino
Catelina
Cateline
Cate
Caterina
Catharina
Catherina
Catherine
Catiana
Cátia
Catila
Catilina
Cati
Cátio
Catiúsca
Catrina
Catrine
Catuchia
Cauã
Cayetana
Ceara
Ceárina
Cecília
Cédric
Cedrico
Ceila
Célcia
Celder
Celénia
Celestiano
Célia
Célica
Celide
Celina
Celinda
Celine
Celinia
Celino
Célio
Celisa
Celisia
Celísio
Celite
Celma
Celmo
Celsa
Célsia
Célsio
Celso
Celta
Celto
Celton
Cereja
Ceres
Cesaldino
Cesaltina
